Class Name,API Name,Number of Input Parameter,Input Parameter Types,List of Methods Invoked
Lcom/android/server/notification/NotificationManagerService,addAutomaticZenRule,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$12>, <Application,Landroid/app/AutomaticZenRule>]","['getCallingUid', 'checkNotNull', 'getName', 'enforcePolicyAccess', 'getConditionId', 'addAutomaticZenRule', 'getOwner']"
Lcom/android/server/notification/NotificationManagerService,applyAdjustmentFromAssistant,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$12>, <Application,Landroid/service/notification/INotificationListener>, <Application,Landroid/service/notification/Adjustment>]","['checkServiceTokenLocked', 'getKey', 'requestSort', 'restoreCallingIdentity', 'get', 'clearCallingIdentity', 'access$6800', 'access$3400', 'access$1800']"
Lcom/android/server/notification/NotificationManagerService,applyAdjustmentsFromAssistant,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$12>, <Application,Landroid/service/notification/INotificationListener>, <Application,Ljava/util/List>]","['checkServiceTokenLocked', 'next', 'getKey', 'requestSort', 'iterator', 'restoreCallingIdentity', 'get', 'clearCallingIdentity', 'access$6800', 'access$3400', 'hasNext', 'access$1800']"
Lcom/android/server/notification/NotificationManagerService,applyEnqueuedAdjustmentFromAssistant,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$12>, <Application,Landroid/service/notification/INotificationListener>, <Application,Landroid/service/notification/Adjustment>]","['checkServiceTokenLocked', 'getKey', 'restoreCallingIdentity', 'size', 'valueOf', 'get', 'equals', 'getUser', 'clearCallingIdentity', 'access$6800', 'getUserId', 'access$1800']"
Lcom/android/server/notification/NotificationManagerService,applyRestore,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$12>, <Primordial,[B>, <Primordial,I>]","['savePolicyFile', 'access$4100', 'd', 'access$6500', 'access$6200', 'access$6300', 'readPolicyXml', '<init>', 'w', 'access$5500', 'toString', 'removeMessages', 'obtainMessage', 'append', 'sendToTarget']"
Lcom/android/server/notification/NotificationManagerService,areChannelsBypassingDnd,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$12>]","['areChannelsBypassingDnd', 'access$900']"
Lcom/android/server/notification/NotificationManagerService,areNotificationsEnabled,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$12>, <Application,Ljava/lang/String>]","['getCallingUid', 'areNotificationsEnabledForPackage']"
Lcom/android/server/notification/NotificationManagerService,areNotificationsEnabledForPackage,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$12>, <Application,Ljava/lang/String>, <Primordial,I>]","['getCallingUserId', 'enforceCallingPermission', 'access$4000', 'getImportance', 'isCallingUidSystem', 'toString', '<init>', 'getContext', 'getUserId', 'append', 'access$900']"
Lcom/android/server/notification/NotificationManagerService,canShowBadge,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$12>, <Application,Ljava/lang/String>, <Primordial,I>]","['canShowBadge', 'access$4100', 'access$900']"
Lcom/android/server/notification/NotificationManagerService,cancelAllNotifications,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$12>, <Application,Ljava/lang/String>, <Primordial,I>]","['getCallingUid', 'handleIncomingUser', 'access$4000', 'cancelAllNotificationsInt', 'getCallingPid']"
