Class Name,API Name,Number of Input Parameters_x,Number of Input Parameters_y,_merge
NotificationManagerService,addAutomaticZenRule,2,2,both
NotificationManagerService,applyRestore,3,3,both
NotificationManagerService,areChannelsBypassingDnd,1,1,both
NotificationManagerService,areNotificationsEnabled,2,2,both
NotificationManagerService,areNotificationsEnabledForPackage,3,3,both
NotificationManagerService,canShowBadge,3,3,both
NotificationManagerService,cancelAllNotifications,3,3,both
NotificationManagerService,cancelNotificationWithTag,5,5,both
NotificationManagerService,cancelToast,3,3,both
NotificationManagerService,clearData,4,4,both
NotificationManagerService,createNotificationChannelGroups,3,3,both
NotificationManagerService,createNotificationChannels,3,3,both
NotificationManagerService,createNotificationChannelsForPackage,4,4,both
NotificationManagerService,deleteNotificationChannel,3,3,both
NotificationManagerService,deleteNotificationChannelGroup,3,3,both
NotificationManagerService,enqueueNotificationWithTag,7,7,both
NotificationManagerService,enqueueToast,4,4,both
NotificationManagerService,finishToken,3,3,both
NotificationManagerService,getActiveNotifications,2,2,both
NotificationManagerService,getAppActiveNotifications,3,3,both
NotificationManagerService,getAutomaticZenRule,2,2,both
NotificationManagerService,getBackupPayload,2,2,both
NotificationManagerService,getBlockedAppCount,2,2,both
NotificationManagerService,getBlockedChannelCount,3,3,both
NotificationManagerService,getDeletedChannelCount,3,3,both
NotificationManagerService,getEffectsSuppressor,1,1,both
NotificationManagerService,getEnabledNotificationListenerPackages,1,1,both
NotificationManagerService,getEnabledNotificationListeners,2,2,both
NotificationManagerService,getHistoricalNotifications,3,3,both
NotificationManagerService,getNotificationChannel,3,3,both
NotificationManagerService,getNotificationChannelForPackage,5,5,both
NotificationManagerService,getNotificationChannelGroup,3,3,both
NotificationManagerService,getNotificationChannelGroupForPackage,4,4,both
NotificationManagerService,getNotificationChannelGroups,2,2,both
NotificationManagerService,getNotificationChannelGroupsForPackage,4,4,both
NotificationManagerService,getNotificationChannels,2,2,both
NotificationManagerService,getNotificationChannelsForPackage,4,4,both
NotificationManagerService,getNotificationPolicy,2,2,both
NotificationManagerService,getNumNotificationChannelsForPackage,4,4,both
NotificationManagerService,getPackageImportance,2,2,both
NotificationManagerService,getPopulatedNotificationChannelGroupForPackage,5,5,both
NotificationManagerService,getRecentNotifyingAppsForUser,2,2,both
NotificationManagerService,getRuleInstanceCount,2,2,both
NotificationManagerService,getZenMode,1,1,both
NotificationManagerService,getZenModeConfig,1,1,both
NotificationManagerService,getZenRules,1,1,both
NotificationManagerService,isNotificationAssistantAccessGranted,2,2,both
NotificationManagerService,isNotificationListenerAccessGranted,2,2,both
NotificationManagerService,isNotificationListenerAccessGrantedForUser,3,3,both
NotificationManagerService,isNotificationPolicyAccessGranted,2,2,both
NotificationManagerService,isNotificationPolicyAccessGrantedForPackage,2,2,both
NotificationManagerService,isSystemConditionProviderEnabled,2,2,both
NotificationManagerService,matchesCallFilter,2,2,both
NotificationManagerService,onlyHasDefaultChannel,3,3,both
NotificationManagerService,removeAutomaticZenRule,2,2,both
NotificationManagerService,removeAutomaticZenRules,2,2,both
NotificationManagerService,requestBindListener,2,2,both
NotificationManagerService,requestBindProvider,2,2,both
NotificationManagerService,setInterruptionFilter,3,3,both
NotificationManagerService,setNotificationAssistantAccessGranted,3,3,both
NotificationManagerService,setNotificationAssistantAccessGrantedForUser,4,4,both
NotificationManagerService,setNotificationListenerAccessGranted,3,3,both
NotificationManagerService,setNotificationListenerAccessGrantedForUser,4,4,both
NotificationManagerService,setNotificationPolicy,3,3,both
NotificationManagerService,setNotificationPolicyAccessGranted,3,3,both
NotificationManagerService,setNotificationPolicyAccessGrantedForUser,4,4,both
NotificationManagerService,setNotificationsEnabledForPackage,4,4,both
NotificationManagerService,setNotificationsEnabledWithImportanceLockForPackage,4,4,both
NotificationManagerService,setShowBadge,4,4,both
NotificationManagerService,setZenMode,4,4,both
NotificationManagerService,updateAutomaticZenRule,3,3,both
NotificationManagerService,updateNotificationChannelForPackage,4,4,both
NotificationManagerService,updateNotificationChannelGroupForPackage,4,4,both
RttService,cancelRanging,2,2,both
RttService,isAvailable,1,1,both
RttService,startRanging,6,6,both
CompanionDeviceManagerService,associate,4,4,both
CompanionDeviceManagerService,disassociate,3,3,both
CompanionDeviceManagerService,getAssociations,3,3,both
CompanionDeviceManagerService,hasNotificationAccess,2,2,both
CompanionDeviceManagerService,requestNotificationAccess,2,2,both
CompanionDeviceManagerService,stopScan,4,4,both
UsbService$Lifecycle,allowUsbDebugging,3,3,both
UsbService$Lifecycle,clearDefaults,3,3,both
UsbService$Lifecycle,clearUsbDebuggingKeys,1,1,both
UsbService$Lifecycle,denyUsbDebugging,1,1,both
UsbService$Lifecycle,getControlFd,2,2,both
UsbService$Lifecycle,getCurrentAccessory,1,1,both
UsbService$Lifecycle,getCurrentFunctions,1,1,both
UsbService$Lifecycle,getDeviceList,2,2,both
UsbService$Lifecycle,getPortStatus,2,2,both
UsbService$Lifecycle,getPorts,1,1,both
UsbService$Lifecycle,getScreenUnlockedFunctions,1,1,both
UsbService$Lifecycle,grantAccessoryPermission,3,3,both
UsbService$Lifecycle,grantDevicePermission,3,3,both
UsbService$Lifecycle,hasAccessoryPermission,2,2,both
UsbService$Lifecycle,hasDefaults,3,3,both
UsbService$Lifecycle,hasDevicePermission,3,3,both
UsbService$Lifecycle,isFunctionEnabled,2,2,both
UsbService$Lifecycle,openAccessory,2,2,both
UsbService$Lifecycle,openDevice,3,3,both
UsbService$Lifecycle,requestAccessoryPermission,4,4,both
UsbService$Lifecycle,requestDevicePermission,4,4,both
UsbService$Lifecycle,setAccessoryPackage,4,4,both
UsbService$Lifecycle,setCurrentFunction,3,3,both
UsbService$Lifecycle,setCurrentFunctions,2,2,both
UsbService$Lifecycle,setDevicePackage,4,4,both
UsbService$Lifecycle,setPortRoles,4,4,both
UsbService$Lifecycle,setScreenUnlockedFunctions,2,2,both
UsbService$Lifecycle,setUsbDeviceConnectionHandler,2,2,both
WifiScanningService,getAvailableChannels,2,2,both
WifiScanningService,getMessenger,1,1,both
LockSettingsService$Lifecycle,verifyCredential,7,,left_only
LockSettingsService$Lifecycle,verifyCredential,5,,left_only
LockSettingsService$Lifecycle,checkCredential,5,,left_only
LockSettingsService$Lifecycle,checkVoldPassword,2,,left_only
LockSettingsService$Lifecycle,closeSession,2,,left_only
LockSettingsService$Lifecycle,generateKey,2,,left_only
LockSettingsService$Lifecycle,getBoolean,4,,left_only
LockSettingsService$Lifecycle,getHashFactor,3,,left_only
LockSettingsService$Lifecycle,getKey,2,,left_only
LockSettingsService$Lifecycle,getKeyChainSnapshot,1,,left_only
LockSettingsService$Lifecycle,getLong,4,,left_only
LockSettingsService$Lifecycle,getRecoverySecretTypes,1,,left_only
LockSettingsService$Lifecycle,getRecoveryStatus,1,,left_only
LockSettingsService$Lifecycle,getSeparateProfileChallengeEnabled,2,,left_only
LockSettingsService$Lifecycle,getString,4,,left_only
LockSettingsService$Lifecycle,getStrongAuthForUser,2,,left_only
LockSettingsService$Lifecycle,havePassword,2,,left_only
LockSettingsService$Lifecycle,havePattern,2,,left_only
LockSettingsService$Lifecycle,importKey,3,,left_only
LockSettingsService$Lifecycle,recoverKeyChainSnapshot,4,,left_only
LockSettingsService$Lifecycle,registerStrongAuthTracker,2,,left_only
LockSettingsService$Lifecycle,removeKey,2,,left_only
LockSettingsService$Lifecycle,requireStrongAuth,3,,left_only
LockSettingsService$Lifecycle,resetKeyStore,2,,left_only
LockSettingsService$Lifecycle,setBoolean,4,,left_only
LockSettingsService$Lifecycle,setLockCredential,6,,left_only
LockSettingsService$Lifecycle,setLong,4,,left_only
LockSettingsService$Lifecycle,setRecoverySecretTypes,2,,left_only
LockSettingsService$Lifecycle,setRecoveryStatus,3,,left_only
LockSettingsService$Lifecycle,setSeparateProfileChallengeEnabled,4,,left_only
LockSettingsService$Lifecycle,setServerParams,2,,left_only
LockSettingsService$Lifecycle,setSnapshotCreatedPendingIntent,2,,left_only
LockSettingsService$Lifecycle,setString,4,,left_only
LockSettingsService$Lifecycle,systemReady,1,,left_only
LockSettingsService$Lifecycle,unregisterStrongAuthTracker,2,,left_only
LockSettingsService$Lifecycle,userPresent,2,,left_only
