Class Name,API Name,Number of Input Parameters,Input Parameter Types,_merge
NotificationManagerService,addAutomaticZenRule,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/app/AutomaticZenRule>]",left_only
NotificationManagerService,applyRestore,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,[B>, <Primordial,I>]",left_only
NotificationManagerService,areChannelsBypassingDnd,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>]",left_only
NotificationManagerService,areNotificationsEnabled,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",left_only
NotificationManagerService,areNotificationsEnabledForPackage,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]",left_only
NotificationManagerService,canShowBadge,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]",left_only
NotificationManagerService,cancelAllNotifications,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]",left_only
NotificationManagerService,cancelNotificationWithTag,5,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,I>]",left_only
NotificationManagerService,cancelToast,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/app/ITransientNotification>]",left_only
NotificationManagerService,clearData,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]",left_only
NotificationManagerService,createNotificationChannelGroups,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/content/pm/ParceledListSlice>]",left_only
NotificationManagerService,createNotificationChannels,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/content/pm/ParceledListSlice>]",left_only
NotificationManagerService,createNotificationChannelsForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Landroid/content/pm/ParceledListSlice>]",left_only
NotificationManagerService,deleteNotificationChannel,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>]",left_only
NotificationManagerService,deleteNotificationChannelGroup,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>]",left_only
NotificationManagerService,enqueueNotificationWithTag,7,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Landroid/app/Notification>, <Primordial,I>]",left_only
