Class Name,API Name,Number of Input Parameters,Input Parameter Types,_merge
NotificationManagerService,addAutomaticZenRule,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/app/AutomaticZenRule>]",both
NotificationManagerService,applyRestore,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,[B>, <Primordial,I>]",both
NotificationManagerService,areChannelsBypassingDnd,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>]",both
NotificationManagerService,areNotificationsEnabled,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",both
NotificationManagerService,areNotificationsEnabledForPackage,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]",both
NotificationManagerService,canShowBadge,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]",both
NotificationManagerService,cancelAllNotifications,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]",both
NotificationManagerService,cancelNotificationWithTag,5,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,I>]",both
NotificationManagerService,cancelToast,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/app/ITransientNotification>]",both
NotificationManagerService,clearData,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]",both
NotificationManagerService,createNotificationChannelGroups,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/content/pm/ParceledListSlice>]",both
NotificationManagerService,createNotificationChannels,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/content/pm/ParceledListSlice>]",both
NotificationManagerService,createNotificationChannelsForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Landroid/content/pm/ParceledListSlice>]",both
NotificationManagerService,deleteNotificationChannel,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>]",both
NotificationManagerService,deleteNotificationChannelGroup,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>]",both
NotificationManagerService,enqueueNotificationWithTag,7,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Landroid/app/Notification>, <Primordial,I>]",both
NotificationManagerService,enqueueToast,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/app/ITransientNotification>, <Primordial,I>]",both
NotificationManagerService,finishToken,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/app/ITransientNotification>]",both
NotificationManagerService,getActiveNotifications,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",both
NotificationManagerService,getAppActiveNotifications,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]",both
NotificationManagerService,getAutomaticZenRule,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",both
NotificationManagerService,getBackupPayload,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,I>]",both
NotificationManagerService,getBlockedAppCount,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,I>]",both
NotificationManagerService,getBlockedChannelCount,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]",both
NotificationManagerService,getDeletedChannelCount,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]",both
NotificationManagerService,getEffectsSuppressor,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>]",both
NotificationManagerService,getEnabledNotificationListenerPackages,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>]",both
NotificationManagerService,getEnabledNotificationListeners,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,I>]",both
NotificationManagerService,getHistoricalNotifications,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]",both
NotificationManagerService,getNotificationChannel,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>]",both
NotificationManagerService,getNotificationChannelForPackage,5,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Ljava/lang/String>, <Primordial,Z>]",both
NotificationManagerService,getNotificationChannelGroup,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>]",both
NotificationManagerService,getNotificationChannelGroupForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>, <Primordial,I>]",both
NotificationManagerService,getNotificationChannelGroups,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",both
NotificationManagerService,getNotificationChannelGroupsForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]",both
NotificationManagerService,getNotificationChannels,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",both
NotificationManagerService,getNotificationChannelsForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]",both
NotificationManagerService,getNotificationPolicy,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",both
NotificationManagerService,getNumNotificationChannelsForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]",both
NotificationManagerService,getPackageImportance,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",both
NotificationManagerService,getPopulatedNotificationChannelGroupForPackage,5,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Ljava/lang/String>, <Primordial,Z>]",both
NotificationManagerService,getRecentNotifyingAppsForUser,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,I>]",both
NotificationManagerService,getRuleInstanceCount,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>]",both
NotificationManagerService,getZenMode,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>]",both
NotificationManagerService,getZenModeConfig,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>]",both
NotificationManagerService,getZenRules,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>]",both
NotificationManagerService,isNotificationAssistantAccessGranted,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>]",both
NotificationManagerService,isNotificationListenerAccessGranted,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>]",both
NotificationManagerService,isNotificationListenerAccessGrantedForUser,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>, <Primordial,I>]",both
NotificationManagerService,isNotificationPolicyAccessGranted,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",both
NotificationManagerService,isNotificationPolicyAccessGrantedForPackage,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",both
NotificationManagerService,isSystemConditionProviderEnabled,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",both
NotificationManagerService,matchesCallFilter,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/os/Bundle>]",both
NotificationManagerService,onlyHasDefaultChannel,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]",both
NotificationManagerService,removeAutomaticZenRule,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",both
NotificationManagerService,removeAutomaticZenRules,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",both
NotificationManagerService,requestBindListener,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>]",both
NotificationManagerService,requestBindProvider,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>]",both
NotificationManagerService,setInterruptionFilter,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]",both
NotificationManagerService,setNotificationAssistantAccessGranted,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>, <Primordial,Z>]",both
NotificationManagerService,setNotificationAssistantAccessGrantedForUser,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>, <Primordial,I>, <Primordial,Z>]",both
NotificationManagerService,setNotificationListenerAccessGranted,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>, <Primordial,Z>]",both
NotificationManagerService,setNotificationListenerAccessGrantedForUser,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>, <Primordial,I>, <Primordial,Z>]",both
NotificationManagerService,setNotificationPolicy,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/app/NotificationManager$Policy>]",both
NotificationManagerService,setNotificationPolicyAccessGranted,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,Z>]",both
NotificationManagerService,setNotificationPolicyAccessGrantedForUser,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]",both
NotificationManagerService,setNotificationsEnabledForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]",both
NotificationManagerService,setNotificationsEnabledWithImportanceLockForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]",both
NotificationManagerService,setShowBadge,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]",both
NotificationManagerService,setZenMode,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,I>, <Application,Landroid/net/Uri>, <Application,Ljava/lang/String>]",both
NotificationManagerService,updateAutomaticZenRule,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/app/AutomaticZenRule>]",both
NotificationManagerService,updateNotificationChannelForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Landroid/app/NotificationChannel>]",both
NotificationManagerService,updateNotificationChannelGroupForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Landroid/app/NotificationChannelGroup>]",both
RttService,cancelRanging,2,"[<Application,Lcom/android/server/wifi/rtt/RttServiceImpl>, <Application,Landroid/os/WorkSource>]",left_only
RttService,isAvailable,1,"[<Application,Lcom/android/server/wifi/rtt/RttServiceImpl>]",left_only
RttService,startRanging,6,"[<Application,Lcom/android/server/wifi/rtt/RttServiceImpl>, <Application,Landroid/os/IBinder>, <Application,Ljava/lang/String>, <Application,Landroid/os/WorkSource>, <Application,Landroid/net/wifi/rtt/RangingRequest>, <Application,Landroid/net/wifi/rtt/IRttCallback>]",left_only
CompanionDeviceManagerService,associate,4,"[<Application,Lcom/android/server/companion/CompanionDeviceManagerService$CompanionDeviceManagerImpl>, <Application,Landroid/companion/AssociationRequest>, <Application,Landroid/companion/IFindDeviceCallback>, <Application,Ljava/lang/String>]",both
CompanionDeviceManagerService,disassociate,3,"[<Application,Lcom/android/server/companion/CompanionDeviceManagerService$CompanionDeviceManagerImpl>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>]",both
CompanionDeviceManagerService,getAssociations,3,"[<Application,Lcom/android/server/companion/CompanionDeviceManagerService$CompanionDeviceManagerImpl>, <Application,Ljava/lang/String>, <Primordial,I>]",both
CompanionDeviceManagerService,hasNotificationAccess,2,"[<Application,Lcom/android/server/companion/CompanionDeviceManagerService$CompanionDeviceManagerImpl>, <Application,Landroid/content/ComponentName>]",both
CompanionDeviceManagerService,requestNotificationAccess,2,"[<Application,Lcom/android/server/companion/CompanionDeviceManagerService$CompanionDeviceManagerImpl>, <Application,Landroid/content/ComponentName>]",both
CompanionDeviceManagerService,stopScan,4,"[<Application,Lcom/android/server/companion/CompanionDeviceManagerService$CompanionDeviceManagerImpl>, <Application,Landroid/companion/AssociationRequest>, <Application,Landroid/companion/IFindDeviceCallback>, <Application,Ljava/lang/String>]",both
UsbService$Lifecycle,allowUsbDebugging,3,"[<Application,Lcom/android/server/usb/UsbService>, <Primordial,Z>, <Application,Ljava/lang/String>]",both
UsbService$Lifecycle,clearDefaults,3,"[<Application,Lcom/android/server/usb/UsbService>, <Application,Ljava/lang/String>, <Primordial,I>]",both
UsbService$Lifecycle,clearUsbDebuggingKeys,1,"[<Application,Lcom/android/server/usb/UsbService>]",both
UsbService$Lifecycle,denyUsbDebugging,1,"[<Application,Lcom/android/server/usb/UsbService>]",both
UsbService$Lifecycle,getControlFd,2,"[<Application,Lcom/android/server/usb/UsbService>, <Primordial,J>]",both
UsbService$Lifecycle,getCurrentAccessory,1,"[<Application,Lcom/android/server/usb/UsbService>]",both
UsbService$Lifecycle,getCurrentFunctions,1,"[<Application,Lcom/android/server/usb/UsbService>]",both
UsbService$Lifecycle,getDeviceList,2,"[<Application,Lcom/android/server/usb/UsbService>, <Application,Landroid/os/Bundle>]",both
UsbService$Lifecycle,getPortStatus,2,"[<Application,Lcom/android/server/usb/UsbService>, <Application,Ljava/lang/String>]",both
UsbService$Lifecycle,getPorts,1,"[<Application,Lcom/android/server/usb/UsbService>]",both
UsbService$Lifecycle,getScreenUnlockedFunctions,1,"[<Application,Lcom/android/server/usb/UsbService>]",both
UsbService$Lifecycle,grantAccessoryPermission,3,"[<Application,Lcom/android/server/usb/UsbService>, <Application,Landroid/hardware/usb/UsbAccessory>, <Primordial,I>]",both
UsbService$Lifecycle,grantDevicePermission,3,"[<Application,Lcom/android/server/usb/UsbService>, <Application,Landroid/hardware/usb/UsbDevice>, <Primordial,I>]",both
UsbService$Lifecycle,hasAccessoryPermission,2,"[<Application,Lcom/android/server/usb/UsbService>, <Application,Landroid/hardware/usb/UsbAccessory>]",both
UsbService$Lifecycle,hasDefaults,3,"[<Application,Lcom/android/server/usb/UsbService>, <Application,Ljava/lang/String>, <Primordial,I>]",both
UsbService$Lifecycle,hasDevicePermission,3,"[<Application,Lcom/android/server/usb/UsbService>, <Application,Landroid/hardware/usb/UsbDevice>, <Application,Ljava/lang/String>]",both
UsbService$Lifecycle,isFunctionEnabled,2,"[<Application,Lcom/android/server/usb/UsbService>, <Application,Ljava/lang/String>]",both
UsbService$Lifecycle,openAccessory,2,"[<Application,Lcom/android/server/usb/UsbService>, <Application,Landroid/hardware/usb/UsbAccessory>]",both
