Class Name,API Name,Number of Input Parameter,Input Parameter Types,List of Methods Invoked
Lcom/android/server/notification/NotificationManagerService,addAutomaticZenRule,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/app/AutomaticZenRule>]","['getCallingUid', 'checkNotNull', 'getName', 'enforcePolicyAccess', 'getConditionId', 'addAutomaticZenRule', 'getOwner']"
Lcom/android/server/notification/NotificationManagerService,applyRestore,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,[B>, <Primordial,I>]","['savePolicyFile', 'd', 'w', 'toString', 'readPolicyXml', '<init>', 'access$4900', 'append', 'access$2900']"
Lcom/android/server/notification/NotificationManagerService,areChannelsBypassingDnd,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>]","['access$700', 'areChannelsBypassingDnd']"
Lcom/android/server/notification/NotificationManagerService,areNotificationsEnabled,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]","['getCallingUid', 'areNotificationsEnabledForPackage']"
Lcom/android/server/notification/NotificationManagerService,areNotificationsEnabledForPackage,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]","['access$700', 'getCallingUserId', 'enforceCallingPermission', 'getImportance', 'toString', '<init>', 'getContext', 'access$2800', 'getUserId', 'append']"
Lcom/android/server/notification/NotificationManagerService,canShowBadge,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]","['access$700', 'canShowBadge', 'access$2900']"
Lcom/android/server/notification/NotificationManagerService,cancelAllNotifications,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]","['getCallingUid', 'handleIncomingUser', 'cancelAllNotificationsInt', 'getCallingPid', 'access$2800']"
Lcom/android/server/notification/NotificationManagerService,cancelNotificationWithTag,5,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,I>]","['getCallingUid', 'handleIncomingUser', 'cancelNotification', 'isCallingUidSystem', 'getCallingPid', 'access$2800']"
Lcom/android/server/notification/NotificationManagerService,cancelToast,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/app/ITransientNotification>]","['restoreCallingIdentity', 'e', 'w', 'clearCallingIdentity', 'i', 'toString', 'indexOfToastLocked', '<init>', 'cancelToastLocked', 'append']"
Lcom/android/server/notification/NotificationManagerService,clearData,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]","['access$700', 'savePolicyFile', 'getCallingUid', 'getCallingUserId', 'cancelAllNotificationsInt', 'access$900', 'access$800', 'onPackagesChanged', 'access$1300', 'access$1400', 'access$1500', 'getUserId', 'access$2900']"
Lcom/android/server/notification/NotificationManagerService,createNotificationChannelGroups,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/content/pm/ParceledListSlice>]","['savePolicyFile', 'getCallingUid', 'size', 'access$3000', 'getList', 'get', 'access$2800']"
Lcom/android/server/notification/NotificationManagerService,createNotificationChannels,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/content/pm/ParceledListSlice>]","['getCallingUid', 'createNotificationChannelsImpl', 'access$2800']"
Lcom/android/server/notification/NotificationManagerService,createNotificationChannelsForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Landroid/content/pm/ParceledListSlice>]","['createNotificationChannelsImpl', 'access$2900']"
Lcom/android/server/notification/NotificationManagerService,deleteNotificationChannel,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>]","['access$700', 'savePolicyFile', 'getCallingUid', 'getNotificationChannel', 'cancelAllNotificationsInt', '<init>', 'access$800', 'deleteNotificationChannel', 'equals', 'access$1300', 'notifyNotificationChannelChanged', 'access$1400', 'access$2800', 'getUserId', 'getUserHandleForUid']"
Lcom/android/server/notification/NotificationManagerService,deleteNotificationChannelGroup,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>]","['access$700', 'savePolicyFile', 'getCallingUid', 'deleteNotificationChannelGroup', 'getId', 'cancelAllNotificationsInt', 'access$800', 'size', 'get', 'getNotificationChannelGroup', 'access$1300', 'notifyNotificationChannelChanged', 'notifyNotificationChannelGroupChanged', 'access$1400', 'access$2800', 'getUserId', 'getUserHandleForUid']"
Lcom/android/server/notification/NotificationManagerService,enqueueNotificationWithTag,7,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Landroid/app/Notification>, <Primordial,I>]","['getCallingUid', 'enqueueNotificationInternal', 'getCallingPid']"
Lcom/android/server/notification/NotificationManagerService,enqueueToast,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/app/ITransientNotification>, <Primordial,I>]","['add', 'keepProcessAliveIfNeededLocked', 'getCallingUid', 'addWindowToken', 'restoreCallingIdentity', 'e', 'areNotificationsEnabledForPackage', 'i', 'indexOfToastPackageLocked', 'update', '<init>', 'showNextToastLocked', 'hide', 'size', 'equals', 'get', 'clearCallingIdentity', 'toString', 'indexOfToastLocked', 'access$2600', 'getCallingPid', 'access$2700', 'append', 'isCallerSystemOrPhone']"
Lcom/android/server/notification/NotificationManagerService,finishToken,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/app/ITransientNotification>]","['restoreCallingIdentity', 'finishTokenLocked', 'get', 'w', 'clearCallingIdentity', 'indexOfToastLocked', 'toString', '<init>', 'append']"
Lcom/android/server/notification/NotificationManagerService,getActiveNotifications,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]","['getCallingUid', 'noteOpNoThrow', 'size', 'access$3200', 'get', 'getContext', 'enforceCallingOrSelfPermission']"
Lcom/android/server/notification/NotificationManagerService,getAppActiveNotifications,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]","['next', 'getKey', 'getCallingUid', 'handleIncomingUser', 'values', 'hasNext', '<init>', 'put', 'sanitizeSbn', 'iterator', 'size', 'addAll', 'get', 'getSnoozed', 'access$3300', 'getCallingPid', 'access$2800']"
Lcom/android/server/notification/NotificationManagerService,getAutomaticZenRule,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]","['getAutomaticZenRule', 'getCallingUid', 'checkNotNull', 'enforcePolicyAccess']"
Lcom/android/server/notification/NotificationManagerService,getBackupPayload,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,I>]","['access$5000', 'd', 'w', 'toByteArray', 'toString', '<init>', 'access$4900', 'append', 'access$2900']"
Lcom/android/server/notification/NotificationManagerService,getBlockedAppCount,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,I>]","['access$700', 'getBlockedAppCount', 'access$2900']"
Lcom/android/server/notification/NotificationManagerService,getBlockedChannelCount,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]","['access$700', 'getBlockedChannelCount', 'enforceSystemOrSystemUI']"
Lcom/android/server/notification/NotificationManagerService,getDeletedChannelCount,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]","['access$700', 'enforceSystemOrSystemUI', 'getDeletedChannelCount']"
Lcom/android/server/notification/NotificationManagerService,getEffectsSuppressor,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>]","['get', 'isEmpty', 'access$4800']"
Lcom/android/server/notification/NotificationManagerService,getEnabledNotificationListenerPackages,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>]","['getCallingUserHandle', 'getIdentifier', 'getAllowedPackages', 'access$2900', 'access$800']"
Lcom/android/server/notification/NotificationManagerService,getEnabledNotificationListeners,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,I>]","['getAllowedComponents', 'access$2900', 'access$800']"
Lcom/android/server/notification/NotificationManagerService,getHistoricalNotifications,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]","['getCallingUid', 'noteOpNoThrow', 'access$3200', 'access$3400', 'getArray', 'getContext', 'enforceCallingOrSelfPermission']"
Lcom/android/server/notification/NotificationManagerService,getNotificationChannel,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>]","['access$700', 'getCallingUid', 'getNotificationChannel', 'access$2800']"
Lcom/android/server/notification/NotificationManagerService,getNotificationChannelForPackage,5,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Ljava/lang/String>, <Primordial,Z>]","['access$700', 'getNotificationChannel', 'access$2900']"
Lcom/android/server/notification/NotificationManagerService,getNotificationChannelGroup,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>]","['access$700', 'getCallingUid', 'getNotificationChannelGroupWithChannels', 'access$2800']"
Lcom/android/server/notification/NotificationManagerService,getNotificationChannelGroupForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Ljava/lang/String>, <Primordial,I>]","['access$700', 'enforceSystemOrSystemUI', 'getNotificationChannelGroup']"
Lcom/android/server/notification/NotificationManagerService,getNotificationChannelGroups,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]","['access$700', 'getCallingUid', 'getNotificationChannelGroups', 'access$2800']"
Lcom/android/server/notification/NotificationManagerService,getNotificationChannelGroupsForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]","['access$700', 'getNotificationChannelGroups', 'access$2900']"
Lcom/android/server/notification/NotificationManagerService,getNotificationChannels,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]","['access$700', 'getCallingUid', 'access$2800', 'getNotificationChannels']"
Lcom/android/server/notification/NotificationManagerService,getNotificationChannelsForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]","['access$700', 'enforceSystemOrSystemUI', 'getNotificationChannels']"
Lcom/android/server/notification/NotificationManagerService,getNotificationPolicy,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]","['restoreCallingIdentity', 'clearCallingIdentity', 'getNotificationPolicy']"
Lcom/android/server/notification/NotificationManagerService,getNumNotificationChannelsForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]","['access$700', 'size', 'enforceSystemOrSystemUI', 'getList', 'getNotificationChannels']"
Lcom/android/server/notification/NotificationManagerService,getPackageImportance,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]","['access$700', 'getCallingUid', 'getImportance', 'access$2800']"
Lcom/android/server/notification/NotificationManagerService,getPopulatedNotificationChannelGroupForPackage,5,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Ljava/lang/String>, <Primordial,Z>]","['access$700', 'enforceSystemOrSystemUI', 'getNotificationChannelGroupWithChannels']"
Lcom/android/server/notification/NotificationManagerService,getRecentNotifyingAppsForUser,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,I>]","['getOrDefault', 'valueOf', '<init>', 'access$2900']"
